invoice_id,vendor_name,risk_score,priority_action
36,Vendor IT,0.9839131,Immediate follow-up
3517,Vendor IT,0.7772584,Monitor
4747,Vendor IT,0.7766062,Monitor
5009,Vendor IT,0.8543452,Immediate follow-up
5324,Vendor IT,0.91737306,Immediate follow-up
5486,Vendor IT,0.9050498,Immediate follow-up
5503,Vendor IT,0.88625544,Immediate follow-up
6097,Vendor IT,0.92284507,Immediate follow-up
6101,Vendor IT,0.84795415,Monitor
6458,Vendor IT,0.95073986,Immediate follow-up
8346,Vendor IT,0.96595985,Immediate follow-up
8760,Vendor IT,0.95642036,Immediate follow-up
8966,Vendor IT,0.92558545,Immediate follow-up
9253,Vendor IT,0.8979422,Immediate follow-up
9420,Vendor IT,0.9462427,Immediate follow-up
257,Vendor IT,0.8597693,Immediate follow-up
331,Vendor IT,0.89716333,Immediate follow-up
878,Vendor IT,0.82232314,Monitor
2000,Vendor IT,0.84172064,Monitor
3427,Vendor IT,0.8350404,Monitor
3795,Vendor IT,0.90477777,Immediate follow-up
3889,Vendor IT,0.95972776,Immediate follow-up
5398,Vendor IT,0.94931203,Immediate follow-up
5590,Vendor IT,0.8433316,Monitor
5818,Vendor IT,0.8190432,Monitor
5871,Vendor IT,0.8352951,Monitor
6619,Vendor IT,0.8984792,Immediate follow-up
6764,Vendor IT,0.8794626,Immediate follow-up
6996,Vendor IT,0.82084054,Monitor
9284,Vendor IT,0.80021954,Monitor
274,Vendor IT,0.7528461,Monitor
405,Vendor IT,0.85999465,Immediate follow-up
654,Vendor IT,0.8211611,Monitor
1057,Vendor IT,0.83584833,Monitor
1313,Vendor IT,0.87690985,Immediate follow-up
1839,Vendor IT,0.8782837,Immediate follow-up
1873,Vendor IT,0.8093978,Monitor
2266,Vendor IT,0.8478599,Monitor
2503,Vendor IT,0.86428505,Immediate follow-up
2696,Vendor IT,0.87657434,Immediate follow-up
2831,Vendor IT,0.8732561,Immediate follow-up
3023,Vendor IT,0.8387119,Monitor
3921,Vendor IT,0.75364006,Monitor
7469,Vendor IT,0.77784795,Monitor
8579,Vendor IT,0.755045,Monitor
9277,Vendor IT,0.8592406,Immediate follow-up
9407,Vendor IT,0.8824937,Immediate follow-up
591,Vendor IT,0.89344996,Immediate follow-up
902,Vendor IT,0.87876093,Immediate follow-up
1106,Vendor IT,0.8763186,Immediate follow-up
1293,Vendor IT,0.9637482,Immediate follow-up
1392,Vendor IT,0.753591,Monitor
1544,Vendor IT,0.88334274,Immediate follow-up
2090,Vendor IT,0.9491002,Immediate follow-up
2208,Vendor IT,0.91464317,Immediate follow-up
3220,Vendor IT,0.8331148,Monitor
6312,Vendor IT,0.75675607,Monitor
1599,Vendor IT,0.79652023,Monitor
2642,Vendor IT,0.865855,Immediate follow-up
3321,Vendor IT,0.82614505,Monitor
3524,Vendor IT,0.87264055,Immediate follow-up
4032,Vendor IT,0.9112937,Immediate follow-up
4968,Vendor IT,0.85826015,Immediate follow-up
4999,Vendor IT,0.90012896,Immediate follow-up
6073,Vendor IT,0.8927489,Immediate follow-up
6941,Vendor IT,0.8927001,Immediate follow-up
7193,Vendor IT,0.93527776,Immediate follow-up
7222,Vendor IT,0.8962105,Immediate follow-up
7548,Vendor IT,0.95190406,Immediate follow-up
7599,Vendor IT,0.9311673,Immediate follow-up
7770,Vendor IT,0.908527,Immediate follow-up
7893,Vendor IT,0.94321847,Immediate follow-up
8166,Vendor IT,0.9916652,Immediate follow-up
8263,Vendor IT,0.8808453,Immediate follow-up
9379,Vendor IT,0.95818555,Immediate follow-up
9908,Vendor IT,0.83910054,Monitor
821,Vendor IT,0.8949625,Immediate follow-up
1080,Vendor IT,0.9133118,Immediate follow-up
1532,Vendor IT,0.79525316,Monitor
2419,Vendor IT,0.7570127,Monitor
2651,Vendor IT,0.8499516,Monitor
2789,Vendor IT,0.9090317,Immediate follow-up
3002,Vendor IT,0.8741865,Immediate follow-up
3569,Vendor IT,0.95714194,Immediate follow-up
3859,Vendor IT,0.81757474,Monitor
4105,Vendor IT,0.9086419,Immediate follow-up
6190,Vendor IT,0.75223553,Monitor
6631,Vendor IT,0.78355,Monitor
7658,Vendor IT,0.82010305,Monitor
8065,Vendor IT,0.88801116,Immediate follow-up
8700,Vendor IT,0.95961064,Immediate follow-up
8829,Vendor IT,0.9240224,Immediate follow-up
9084,Vendor IT,0.83313733,Monitor
1308,Vendor IT,0.8999771,Immediate follow-up
1849,Vendor IT,0.87776536,Immediate follow-up
2371,Vendor IT,0.8552108,Immediate follow-up
2488,Vendor IT,0.8878828,Immediate follow-up
3477,Vendor IT,0.8373603,Monitor
3485,Vendor IT,0.8481385,Monitor
3509,Vendor IT,0.889046,Immediate follow-up
3718,Vendor IT,0.9351869,Immediate follow-up
4613,Vendor IT,0.83216405,Monitor
4765,Vendor IT,0.9443504,Immediate follow-up
4825,Vendor IT,0.93422145,Immediate follow-up
5358,Vendor IT,0.9417792,Immediate follow-up
6579,Vendor IT,0.85861063,Immediate follow-up
6755,Vendor IT,0.79641587,Monitor
6962,Vendor IT,0.8725286,Immediate follow-up
7757,Vendor IT,0.8922644,Immediate follow-up
8101,Vendor IT,0.8493149,Monitor
8373,Vendor IT,0.89197505,Immediate follow-up
8984,Vendor IT,0.79870147,Monitor
9282,Vendor IT,0.8915225,Immediate follow-up
9283,Vendor IT,0.8054231,Monitor
9731,Vendor IT,0.8049145,Monitor
9773,Vendor IT,0.754436,Monitor
113,Vendor IT,0.8392999,Monitor
