invoice_id,vendor_id,amount,due_in_days,rating,gl_code,invoice_date,due_date,payment_status,label,is_overdue,urgency_score,high_risk_vendor,invoice_age,due_weekday,due_month,due_month_end_flag,due_quarter,vendor_avg_delay,vendor_late_rate,vendor_recent_risk,category_econ_index,vendor_avg_discount,invoice_month,vendor_monthly_volume,category_IT,category_Logistics,category_Maintenance,category_Office Supplies,company_code_C002,company_code_C003,vendor_region_APAC,vendor_region_EMEA,payment_term_45D,payment_term_60D,block_reason_missing PO,block_reason_none,block_reason_price mismatch,risk_score,vendor_name
36,A001,1763,17,2,400300,2025-03-16 14:33:10.482809,2025-04-30 14:33:10.482809,late,1,0,97.94444444444444,1,89,2,4,0,2,9.90829268292683,0.635609756097561,1.0,0.949816047538945,0.015599452033620266,2025-04,134,False,True,False,False,False,True,False,True,False,True,False,True,False,0.9839131,Vendor IT
1086,A001,1620,17,4,400200,2025-03-16 14:33:10.482809,2025-04-30 14:33:10.482809,on_time,0,0,90.0,0,89,2,4,0,2,9.90829268292683,0.635609756097561,0.5,1.1802857225639665,0.015599452033620266,2025-04,134,False,False,True,False,True,False,False,True,False,True,False,False,False,0.55348575,Vendor IT
1246,A001,4703,16,3,400100,2025-03-16 14:33:10.482809,2025-04-15 14:33:10.482809,on_time,0,0,276.6470588235294,0,89,1,4,0,2,9.90829268292683,0.635609756097561,0.3333333333333333,1.1802857225639665,0.015599452033620266,2025-04,134,False,False,True,False,True,False,False,True,True,False,False,True,False,0.06526966,Vendor IT
1925,A001,4109,1,1,400200,2025-03-16 14:33:10.482809,2025-05-15 14:33:10.482809,on_time,0,0,2054.5,1,89,3,5,0,2,9.90829268292683,0.635609756097561,0.25,1.092797576724562,0.015599452033620266,2025-05,616,False,False,False,False,True,False,False,True,True,False,False,False,False,0.12011273,Vendor IT
2254,A001,4275,20,5,400100,2025-03-16 14:33:10.482809,2025-04-30 14:33:10.482809,late,1,0,203.57142857142858,0,89,2,4,0,2,9.90829268292683,0.635609756097561,0.4,1.0394633936788147,0.015599452033620266,2025-04,134,True,False,False,False,False,False,False,False,False,False,False,False,True,0.6867989,Vendor IT
2342,A001,2321,11,3,400200,2025-03-16 14:33:10.482809,2025-04-15 14:33:10.482809,on_time,0,0,193.41666666666666,0,89,1,4,0,2,9.90829268292683,0.635609756097561,0.3333333333333333,1.0394633936788147,0.015599452033620266,2025-04,134,True,False,False,False,False,False,False,False,False,True,False,False,True,0.36387575,Vendor IT
2442,A001,431,3,4,400300,2025-03-16 14:33:10.482809,2025-05-15 14:33:10.482809,late,1,0,107.75,0,89,3,5,0,2,9.90829268292683,0.635609756097561,0.42857142857142855,1.0394633936788147,0.015599452033620266,2025-05,616,True,False,False,False,False,True,False,False,True,False,False,False,False,0.4923159,Vendor IT
2760,A001,4014,-6,5,400300,2025-03-16 14:33:10.482809,2025-04-30 14:33:10.482809,late,1,1,573.4285714285714,0,89,2,4,0,2,9.90829268292683,0.635609756097561,0.5,0.949816047538945,0.015599452033620266,2025-04,134,False,True,False,False,False,True,False,True,False,True,False,True,False,0.72981644,Vendor IT
2955,A001,743,3,5,400200,2025-03-16 14:33:10.482809,2025-04-15 14:33:10.482809,on_time,0,0,185.75,0,89,1,4,0,2,9.90829268292683,0.635609756097561,0.4444444444444444,0.8624074561769747,0.015599452033620266,2025-04,134,False,False,False,True,False,False,False,False,True,False,False,True,False,0.15218137,Vendor IT
3517,A001,965,29,1,400300,2025-03-16 14:33:10.482809,2025-04-30 14:33:10.482809,late,1,0,32.166666666666664,1,89,2,4,0,2,9.90829268292683,0.635609756097561,0.5,0.8624074561769747,0.015599452033620266,2025-04,134,False,False,False,True,True,False,False,True,False,True,False,False,False,0.7772584,Vendor IT
4666,A001,1004,20,2,400100,2025-03-16 14:33:10.482809,2025-05-15 14:33:10.482809,on_time,0,0,47.80952380952381,1,89,3,5,0,2,9.90829268292683,0.635609756097561,0.4,0.949816047538945,0.015599452033620266,2025-05,616,False,True,False,False,False,False,False,False,False,False,False,False,False,0.56708354,Vendor IT
4747,A001,3622,25,1,400200,2025-03-16 14:33:10.482809,2025-04-30 14:33:10.482809,late,1,0,139.30769230769232,1,89,2,4,0,2,9.90829268292683,0.635609756097561,0.5,0.8624074561769747,0.015599452033620266,2025-04,134,False,False,False,True,False,True,False,True,False,False,False,True,False,0.7766062,Vendor IT
5009,A001,529,30,2,400300,2025-03-16 14:33:10.482809,2025-04-30 14:33:10.482809,late,1,0,17.06451612903226,1,89,2,4,0,2,9.90829268292683,0.635609756097561,0.6,0.8624074561769747,0.015599452033620266,2025-04,134,False,False,False,True,True,False,True,False,False,False,False,True,False,0.8543452,Vendor IT
5324,A001,3374,2,3,400200,2025-03-16 14:33:10.482809,2025-05-15 14:33:10.482809,late,1,0,1124.6666666666667,0,89,3,5,0,2,9.90829268292683,0.635609756097561,0.7,1.092797576724562,0.015599452033620266,2025-05,616,False,False,False,False,False,False,True,False,True,False,False,False,True,0.91737306,Vendor IT
5486,A001,1629,27,3,400100,2025-03-16 14:33:10.482809,2025-05-15 14:33:10.482809,late,1,0,58.17857142857143,0,89,3,5,0,2,9.90829268292683,0.635609756097561,0.7,1.092797576724562,0.015599452033620266,2025-05,616,False,False,False,False,False,False,False,False,False,False,True,False,False,0.9050498,Vendor IT
5503,A001,1156,13,5,400200,2025-03-16 14:33:10.482809,2025-05-15 14:33:10.482809,late,1,0,82.57142857142857,0,89,3,5,0,2,9.90829268292683,0.635609756097561,0.8,1.092797576724562,0.015599452033620266,2025-05,616,False,False,False,False,True,False,False,True,False,False,False,False,True,0.88625544,Vendor IT
6097,A001,4498,1,2,400300,2025-03-16 14:33:10.482809,2025-04-15 14:33:10.482809,late,1,0,2249.0,1,89,1,4,0,2,9.90829268292683,0.635609756097561,0.8,1.0394633936788147,0.015599452033620266,2025-04,134,True,False,False,False,False,False,False,False,False,False,True,False,False,0.92284507,Vendor IT
6101,A001,983,25,3,400200,2025-03-16 14:33:10.482809,2025-04-15 14:33:10.482809,late,1,0,37.80769230769231,0,89,1,4,0,2,9.90829268292683,0.635609756097561,0.8,1.1802857225639665,0.015599452033620266,2025-04,134,False,False,True,False,True,False,False,False,True,False,False,False,True,0.84795415,Vendor IT
6458,A001,4445,5,3,400300,2025-03-16 14:33:10.482809,2025-04-15 14:33:10.482809,late,1,0,740.8333333333334,0,89,1,4,0,2,9.90829268292683,0.635609756097561,0.9,0.949816047538945,0.015599452033620266,2025-04,134,False,True,False,False,True,False,True,False,False,False,True,False,False,0.95073986,Vendor IT
7289,A001,3932,14,3,400200,2025-03-16 14:33:10.482809,2025-04-15 14:33:10.482809,on_time,0,0,262.1333333333333,0,89,1,4,0,2,9.90829268292683,0.635609756097561,0.8,1.1802857225639665,0.015599452033620266,2025-04,134,False,False,True,False,True,False,False,True,False,True,False,True,False,0.3169483,Vendor IT
8346,A001,711,18,1,400100,2025-03-16 14:33:10.482809,2025-05-15 14:33:10.482809,late,1,0,37.421052631578945,1,89,3,5,0,2,9.90829268292683,0.635609756097561,0.9,0.949816047538945,0.015599452033620266,2025-05,616,False,True,False,False,True,False,False,False,False,True,False,False,False,0.96595985,Vendor IT
8760,A001,2440,-10,5,400300,2025-03-16 14:33:10.482809,2025-05-15 14:33:10.482809,late,1,1,221.8181818181818,0,89,3,5,0,2,9.90829268292683,0.635609756097561,0.9,1.0394633936788147,0.015599452033620266,2025-05,616,True,False,False,False,True,False,False,False,True,False,False,True,False,0.95642036,Vendor IT
8816,A001,1519,11,5,400200,2025-03-16 14:33:10.482809,2025-04-15 14:33:10.482809,on_time,0,0,126.58333333333333,0,89,1,4,0,2,9.90829268292683,0.635609756097561,0.8,0.949816047538945,0.015599452033620266,2025-04,134,False,True,False,False,False,True,False,True,False,True,False,True,False,0.4199022,Vendor IT
8966,A001,4939,0,4,400300,2025-03-16 14:33:10.482809,2025-04-30 14:33:10.482809,late,1,0,4939.0,0,89,2,4,0,2,9.90829268292683,0.635609756097561,0.8,0.949816047538945,0.015599452033620266,2025-04,134,False,True,False,False,False,False,True,False,True,False,False,False,False,0.92558545,Vendor IT
9253,A001,4532,-7,3,400100,2025-03-16 14:33:10.482809,2025-04-30 14:33:10.482809,late,1,1,566.5,0,89,2,4,0,2,9.90829268292683,0.635609756097561,0.8,1.1802857225639665,0.015599452033620266,2025-04,134,False,False,True,False,False,False,False,True,True,False,False,False,False,0.8979422,Vendor IT
